sensor,file_name,timestamp,range
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220325001720.wav,8404.5,4896.9062
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220325001720.wav,12450.5,3413.9624
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220325001720.wav,12485.0,2244.0542
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220325001720.wav,12646.5,4836.902
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220325001720.wav,18222.0,8597.433
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220325001720.wav,32084.0,14237.081
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220325001720.wav,36540.0,5800.7437
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220325001720.wav,36544.0,6839.659
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220325001720.wav,41853.5,1601.4607
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220325001720.wav,41877.5,1405.9984
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220325121705.wav,4293.0,11841.6
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220325121705.wav,24641.0,9655.995
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220326121641.wav,5777.5,9845.659
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220326121641.wav,8946.0,8436.365
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220326121641.wav,9059.5,11315.951
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220326121641.wav,13072.5,12140.978
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220326121641.wav,38554.0,12918.334
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220326121641.wav,38787.0,12909.153
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220326121641.wav,39669.0,10239.197
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220326121641.wav,40094.0,10163.885
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220327001632.wav,3499.0,7267.0244
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220327001632.wav,6833.5,2803.0447
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220327001632.wav,7957.5,9610.922
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220327001632.wav,8826.5,10225.386
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220327001632.wav,8837.0,11864.734
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220327001632.wav,8843.0,5268.079
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220327001632.wav,8865.0,10317.382
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220327001632.wav,9082.0,2391.2332
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220327001632.wav,9595.0,1356.1257
6474,/workspace/data/cape_cod_bay/acoustics/6474/6474.220327001632.wav,9660.5,3766.5127
