file,start_t,end_t,fs
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5783/5783.220522005248.wav,3001,3011,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5818/5818.220524070906.wav,25059,25069,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5815/5815.220523153635.wav,41871,41881,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5818/5818.220523190912.wav,510,520,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5818/5818.220525070854.wav,16534,16544,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6473/6473.220522052946.wav,15620,15630,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5483/5483.220523170937.wav,30958,30968,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6473/6473.220523172921.wav,22500,22510,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5818/5818.220522070937.wav,25473,25483,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5815/5815.220523033645.wav,2201,2211,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6473/6473.220523172921.wav,14641,14651,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6474/6474.220521174755.wav,32163,32173,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6471/6471.220522120748.wav,8610,8620,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5814/5814.220524143211.wav,38415,38425,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6469/6469.220521021801.wav,35802,35812,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6465/6465.220524134101.wav,11412,11422,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6476/6476.220524182713.wav,25552,25562,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6471/6471.220520120847.wav,11677,11687,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5816/5816.220524060300.wav,30499,30509,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/5815/5815.220521033808.wav,3188,3198,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6464/6464.220521043458.wav,2674,2684,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6478/6478.220520003336.wav,15762,15772,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6470/6470.220521064512.wav,29548,29558,24000
/media/markgoldwater/Extreme SSD/SBCEX22/acoustics/2_circle_tow_riuss/6471/6471.220522120748.wav,9563,9573,24000
