in_sensors,method_thresh,num_delete,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
True,inf,0,2,0,False,False,False,1.0,2.2737367544323206e-13;4.547473508864641e-13;,8.198074455012805e-13;1.016845989170083e-12;
True,inf,0,2,0,False,False,False,1.0,3.410605131648481e-13;1.775845174940208e-12;,2.2737367544323206e-13;9.165725883006586e-13;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;2.799213746640164e-13;,2.2737367544323206e-13;3.639754730461873e-13;
True,inf,0,2,0,False,False,False,1.0,2.2737367544323206e-13;2.2737367544323206e-13;,7.105427357601002e-14;0.0;
True,inf,0,2,0,False,False,False,1.0,1.0045697324301055e-11;6.629024818318272e-13;,7.622954678590855e-12;5.684341886080801e-13;
True,inf,0,2,0,False,False,False,1.0,8.298305927491741e-11;9.374856803373542e-13;,8.478637529500673e-11;1.1368683772161603e-13;
True,inf,0,2,0,False,False,False,1.0,0.0;1.1368683772161603e-13;,0.0;3.410605131648481e-13;
True,inf,0,2,0,False,False,False,1.0,7.958316930457453e-11;5.084229945850415e-13;,9.514387880913133e-11;2.2737367544323206e-13;
True,inf,0,2,0,False,False,False,1.0,6.431098710768743e-13;1.7053025658242404e-13;,0.0;2.5579538487363607e-13;
True,inf,0,2,0,False,False,False,1.0,6.406026489043049e-13;1.016845989170083e-12;,6.184987801499812e-13;1.1368683772161603e-12;
True,inf,0,2,0,False,False,False,1.0,2.2737367544323206e-13;0.0;,6.821210263296962e-13;2.0495186137532011e-13;
True,inf,0,2,0,False,False,False,1.0,5.288653160826128e-13;6.075915160358597e-10;,1.1368683772161603e-13;4.5243085457763164e-10;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;2.2737367544323206e-13;,2.2737367544323206e-13;0.0;
True,inf,0,2,0,False,False,False,1.0,1.016845989170083e-12;0.0;,1.8331451766013172e-12;1.4210854715202004e-13;
True,inf,0,2,0,False,False,False,1.0,1.1666202952691296e-11;2.2737367544323206e-13;,7.397565490942151e-12;0.0;
True,inf,0,2,0,False,False,False,1.0,0.0;1.7426749756641408e-11;,0.0;1.2099105347173872e-11;
True,inf,0,2,0,False,False,False,1.0,2.2737367544323206e-13;2.2737367544323206e-13;,0.0;1.7316263224219958e-12;
True,inf,0,2,0,False,False,False,1.0,2.2737367544323206e-13;1.016845989170083e-12;,2.2737367544323206e-13;1.016845989170083e-12;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;9.374856803373542e-13;,4.547473508864641e-13;9.374856803373542e-13;
True,inf,0,2,0,False,False,False,1.0,0.0;6.887826813400361e-10;,0.0;6.925855899375476e-10;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;2.2737367544323206e-13;,0.0;2.2737367544323206e-13;
True,inf,0,2,0,False,False,False,1.0,1.016845989170083e-12;2.207399102070167e-12;,0.0;5.196122802784175e-12;
True,inf,0,2,0,False,False,False,1.0,8.526512829121202e-14;0.0;,5.684341886080801e-13;4.547473508864641e-13;
True,inf,0,2,0,False,False,False,1.0,0.0;4.433786671143025e-12;,1.1368683772161603e-13;2.5949503220802687e-12;
True,inf,0,2,0,False,False,False,1.0,1.2862197421537486e-12;2.2737367544323206e-13;,9.094947017729282e-13;1.1368683772161603e-13;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;4.834030647877921e-12;,0.0;3.2554955994956693e-12;
True,inf,0,2,0,False,False,False,1.0,1.1368683772161603e-13;7.13816070752195e-10;,6.821210263296962e-13;9.132424613260804e-10;
True,inf,0,2,0,False,False,False,1.0,3.410605131648481e-13;4.687428401686771e-13;,3.979039320256561e-13;8.911896126153842e-10;
True,inf,0,2,0,False,False,False,1.0,0.0;4.547473508864641e-13;,2.2737367544323206e-13;4.547473508864641e-13;
True,inf,0,2,0,False,False,False,1.0,9.277849023011715e-12;4.547473508864641e-13;,2.3547244754455227e-11;4.547473508864641e-13;
True,inf,0,2,0,False,False,False,1.0,1.4559018921847493e-12;9.094947017729282e-13;,2.2737367544323206e-12;1.4559018921847493e-12;
True,inf,0,2,0,False,False,False,1.0,2.2737367544323206e-13;3.0243169605309916e-11;,4.687428401686771e-13;4.6113581977733974e-11;
True,inf,0,2,0,False,False,False,1.0,2.2737367544323206e-13;8.87922587470104e-13;,0.0;2.8421709430404007e-13;
True,inf,0,2,0,False,False,False,1.0,1.1368683772161603e-13;5.684341886080802e-14;,0.0;2.2737367544323206e-13;
True,inf,0,2,0,False,False,False,1.0,2.2646538637803245e-11;4.856703836433968e-13;,2.8653569465398587e-11;2.2737367544323206e-13;
True,inf,0,2,0,False,False,False,1.0,1.1368683772161603e-13;5.684341886080802e-14;,1.7053025658242404e-13;3.979039320256561e-13;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;0.0;,6.431098710768743e-13;4.547473508864641e-13;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;5.6136452559454133e-11;,4.547473508864641e-13;6.534866607756094e-10;
True,inf,0,2,0,False,False,False,1.0,3.2155493553843715e-13;3.0014186410071682e-12;,2.2737367544323206e-13;2.6147972675971687e-12;
True,inf,0,2,0,False,False,False,1.0,0.0;0.0;,0.0;0.0;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;1.1368683772161603e-13;,4.547473508864641e-13;3.410605131648481e-13;
True,inf,0,2,0,False,False,False,1.0,0.0;0.0;,0.0;0.0;
True,inf,0,2,0,False,False,False,1.0,9.374856803373542e-13;7.667045730337136e-11;,3.410605131648481e-13;8.234066972517828e-11;
True,inf,0,2,0,False,False,False,1.0,1.2431046189151993e-12;4.547473508864641e-13;,1.5793880253852199e-12;5.084229945850415e-13;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;4.547473508864641e-13;,0.0;0.0;
True,inf,0,2,0,False,False,False,1.0,6.07957072040502e-10;5.084229945850415e-13;,6.116809980638893e-10;0.0;
True,inf,0,2,0,False,False,False,1.0,9.094947017729282e-13;1.3330117931079885e-09;,9.094947017729282e-13;1.3272472788402523e-09;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;3.6347277316387706e-11;,5.084229945850415e-13;3.241601558987381e-11;
True,inf,0,2,0,False,False,False,1.0,5.684341886080801e-13;1.7053025658242404e-13;,0.0;3.410605131648481e-13;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;7.958078640513122e-13;,4.547473508864641e-13;7.731540852509763e-13;
True,inf,0,2,0,False,False,False,1.0,0.0;3.410605131648481e-13;,0.0;0.0;
True,inf,0,2,0,False,False,False,1.0,5.115907697472721e-13;0.0;,9.310008041529271e-13;9.094947017729282e-13;
True,inf,0,2,0,False,False,False,1.0,1.1368683772161603e-13;7.031142602530156e-13;,2.2737367544323206e-13;1.4210854715202004e-13;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;9.374856803373542e-13;,0.0;9.094947017729282e-13;
True,inf,0,2,0,False,False,False,1.0,0.0;9.094947017729282e-13;,1.1368683772161603e-13;9.094947017729282e-13;
True,inf,0,2,0,False,False,False,1.0,1.274104372543834e-11;1.5007093205035841e-12;,1.4960082034664065e-11;2.2737367544323206e-13;
True,inf,0,2,0,False,False,False,1.0,3.979039320256561e-13;6.316724920907291e-11;,1.1368683772161603e-13;2.9230650397977575e-11;
True,inf,0,2,0,False,False,False,1.0,4.602649920770331e-13;3.724003216611709e-11;,1.1368683772161603e-13;2.930563548164723e-11;
True,inf,0,2,0,False,False,False,1.0,4.547473508864641e-13;0.0;,4.547473508864641e-13;0.0;
