num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
1,0,False,False,False,1.0,2.2737367544323206e-12;,1.626953582672133e-11;
1,0,,True,False,,,
1,0,False,False,False,1.0,3.208633511439223e-12;,5.1448789686149945e-12;
1,0,False,False,False,1.0,4.239080191984186e-10;,1.124982816404825e-11;
1,0,False,False,False,1.0,1.8189894035458565e-12;,6.558459564010244e-12;
1,0,False,False,False,1.0,1.2862197421537486e-12;,8.385126836667848e-12;
1,0,False,False,False,1.0,0.0;,3.279229782005122e-12;
1,0,False,False,False,1.0,0.0;,2.7284841053187847e-11;
1,0,False,False,False,1.0,9.094947017729282e-13;,1.4665161412810538e-11;
1,0,False,False,False,1.0,9.069901428262526e-11;,1.4665161412810538e-11;
1,0,False,False,False,1.0,1.4484684689973404e-10;,6.558459564010244e-12;
1,0,False,False,False,1.0,7.648412444406363e-11;,3.45128973294964e-11;
1,0,False,False,False,1.0,1.5948038869533659e-09;,5.4569682106375694e-12;
1,0,False,False,False,1.0,3.8657704262548816e-13;,2.2737367544323206e-12;
1,0,False,False,False,1.0,3.637978807091713e-12;,1.9271847213910488e-11;
1,0,False,False,False,1.0,2.5011104298755527e-12;,4.897778860262864e-12;
1,0,False,False,False,1.0,1.108759444650899e-09;,3.637978807091713e-12;
1,0,False,False,False,1.0,9.094947017729282e-13;,5.1448789686149945e-12;
1,0,False,False,False,1.0,4.547473508864641e-13;,1.1936576582599344e-11;
1,0,False,False,False,1.0,0.0;,1.0289757937229989e-11;
1,0,False,False,False,1.0,2.033691978340166e-12;,5.752149554916067e-12;
1,0,False,False,False,1.0,4.067383956680332e-12;,2.3825463172087868e-11;
1,0,False,False,False,1.0,4.547473508864641e-13;,6.558459564010244e-12;
1,0,False,False,False,1.0,0.0;,1.7160311712462504e-11;
1,0,False,False,False,1.0,1.8189894035458565e-12;,3.728928277269006e-11;
1,0,False,False,False,1.0,1.3116919128020487e-11;,3.1295077013210636e-11;
1,0,,True,False,,,
1,0,False,False,False,1.0,9.843712036141808e-10;,8.957483989248525e-12;
1,0,False,False,False,1.0,4.547473508864641e-13;,1.0951766470309208e-11;
1,0,False,False,False,1.0,1.8189894035458565e-12;,1.7087854055767762e-11;
1,0,False,False,False,1.0,1.2370465364015621e-11;,5.1448789686149945e-12;
1,0,False,False,False,1.0,3.45128973294964e-11;,5.472105460827633e-11;
1,0,False,False,False,1.0,3.1667137543679037e-10;,1.8189894035458565e-11;
1,0,False,False,False,1.0,8747.540559886631;,2.7765668205527158e-11;
1,0,False,False,False,1.0,2.889049118879737e-09;,1.639614891002561e-12;
1,0,False,False,False,1.0,0.0;,3.642523441976807e-11;
1,0,False,False,False,1.0,1.828061726177273e-11;,4.067383956680332e-12;
1,0,False,False,False,1.0,6.431098710768743e-13;,2.3187656159247056e-12;
1,0,False,False,False,1.0,1.8189894035458565e-12;,3.58299359569941e-11;
1,0,False,False,False,1.0,9.094947017729282e-13;,2.300859821966427e-11;
1,0,False,False,False,1.0,8.957483989248525e-12;,3.749942721349417e-12;
1,0,,True,False,,,
1,0,False,False,False,1.0,0.0;,6.62122137262533e-12;
1,0,False,False,False,1.0,0.0;,2.9999541770795335e-11;
1,0,,True,False,,,
1,0,False,False,False,1.0,0.0;,2.300859821966427e-11;
1,0,False,False,False,1.0,2.2737367544323206e-12;,1.988967390264319e-11;
1,0,False,False,False,1.0,1.8189894035458565e-12;,5.5531336411054316e-11;
1,0,False,False,False,1.0,9.094947017729282e-13;,1.3882834102763579e-11;
1,0,False,False,False,1.0,7.648412444406363e-11;,1.7160311712462504e-11;
1,0,False,False,False,1.0,0.0;,4.067383956680332e-12;
1,0,False,False,False,1.0,1.05480214008153e-09;,3.9350757384061467e-11;
1,0,,True,False,,,
1,0,False,False,False,1.0,2.387586267062864e-10;,9.668061295755842e-12;
1,0,,True,False,,,
1,0,False,False,False,1.0,0.0;,5.303219854654618e-12;
1,0,False,False,False,1.0,4.067383956680332e-12;,4.897778860262864e-11;
1,0,False,False,False,1.0,8.134767913360665e-12;,3.354050734667139e-11;
1,0,False,False,False,1.0,9.094947017729282e-13;,9.275062463698822e-12;
1,0,False,False,False,1.0,5.964732245678827e-10;,3.728928277269006e-11;
1,0,False,False,False,1.0,0.0;,1.6770253673335696e-11;
1,0,False,False,False,1.0,3.279229782005122e-12;,1.2370465364015621e-11;
1,0,False,False,False,1.0,9.374856803373542e-13;,6.3175521015408794e-12;
1,0,False,False,False,1.0,0.0;,1.4665161412810538e-11;
1,0,False,False,False,1.0,4.067383956680332e-12;,1.3116919128020487e-11;
1,0,False,False,False,1.0,8.022258839634612e-10;,5.4569682106375694e-12;
1,0,False,False,False,1.0,5.4569682106375694e-12;,1.0951766470309208e-11;
1,0,False,False,False,1.0,9.094947017729282e-13;,3.279229782005122e-12;
1,0,False,False,False,1.0,18796.838171843792;,2.979202573289367e-11;
1,0,False,False,False,1.0,1.2862197421537486e-12;,1.0606439709309235e-11;
1,0,False,False,False,1.0,1.2067203156561085e-09;,1.2202151870040997e-11;
1,0,False,False,False,1.0,5.823607568738997e-12;,1.4235843848381163e-11;
1,0,False,False,False,1.0,9.094947017729282e-13;,6.9414170513817895e-12;
