k,consistency_thresh,method_thresh,prune,max_time_offset,measurement_variance,success_rate,theta_error,std
4,3500,0.95,False,0,100.0,True,0.100265487076399,10.0
4,3500,0.95,False,0,100.0,True,1.1049846567032635,10.0
4,3500,0.95,False,0,100.0,True,0.0182470625492428,10.0
4,3500,0.95,False,0,100.0,True,0.0904509838998066,10.0
4,3500,0.95,False,0,100.0,True,0.1192949305239654,10.0
4,3500,0.95,False,0,100.0,True,0.5863746474183245,10.0
4,3500,0.95,False,0,100.0,True,0.506332039363997,10.0
4,3500,0.95,False,0,100.0,True,0.136800258895164,10.0
4,3500,0.95,False,0,100.0,True,0.1626690732536175,10.0
4,3500,0.95,False,0,100.0,True,0.2184920733515554,10.0
4,3500,0.95,False,0,100.0,True,0.0711728979082622,10.0
4,3500,0.95,False,0,100.0,True,1.4691356628891512,10.0
4,3500,0.95,False,0,100.0,True,0.3367636663392943,10.0
4,3500,0.95,False,0,100.0,True,0.7000996331781906,10.0
4,3500,0.95,False,0,100.0,True,0.0132759219182077,10.0
4,3500,0.95,False,0,100.0,True,1.8262902015594025,10.0
4,3500,0.95,False,0,100.0,True,1.3777793805346334,10.0
4,3500,0.95,False,0,100.0,True,0.5825509334885339,10.0
4,3500,0.95,False,0,100.0,True,0.0043072736831675,10.0
4,3500,0.95,False,0,100.0,True,0.4901201353901001,10.0
4,3500,0.95,False,0,100.0,True,1.400901993265201,10.0
4,3500,0.95,False,0,100.0,True,0.0754277873169328,10.0
4,3500,0.95,False,0,100.0,True,0.0574404785063933,10.0
4,3500,0.95,False,0,100.0,True,5.4636428104629005,10.0
4,3500,0.95,False,0,100.0,True,0.0487885244738066,10.0
4,3500,0.95,False,0,100.0,True,0.115963009896884,10.0
4,3500,0.95,False,0,100.0,True,0.0692476299482294,10.0
4,3500,0.95,False,0,100.0,True,0.75563208559808,10.0
4,3500,0.95,False,0,100.0,True,0.0866769049014948,10.0
4,3500,0.95,False,0,100.0,True,8.37622680707787,10.0
4,3500,0.95,False,0,1000.0,True,0.2243197586160477,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.2646199714542376,31.622776601683793
4,3500,0.95,False,0,1000.0,True,1.3120701848434069,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.7212393039309006,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.0847236970789708,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.163241423246625,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.4832815681160447,31.622776601683793
4,3500,0.95,False,0,1000.0,True,1.5730691541306356,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.9982148499889548,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.2650834881877415,31.622776601683793
4,3500,0.95,False,0,1000.0,True,2.636946636561561,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.4690754113503885,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.4144600613212503,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.0532971576387382,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.1001945694403332,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.15612340728822,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.4940453551716599,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.0069365722191818,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.7413187066509366,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.4651422243373186,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.0538880321915868,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.5207596159409071,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.075545056158532,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.2384681283797078,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.0281244513685514,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.4603406946755441,31.622776601683793
4,3500,0.95,False,0,1000.0,True,3.1868192410166785,31.622776601683793
4,3500,0.95,False,0,1000.0,True,1.4842584452352412,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.1217325579964665,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.1505048226517402,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.2853783870584294,31.622776601683793
4,3500,0.95,False,0,1000.0,True,2.902884826347361,31.622776601683793
4,3500,0.95,False,0,1000.0,True,3.974100642484615,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.134548210653854,31.622776601683793
