k,consistency_thresh,method_thresh,prune,max_time_offset,measurement_variance,success_rate,theta_error,std
4,1000,0.95,False,0,1000.0,True,0.061773827410029,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0530106741424987,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0309206428596837,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0453787442442177,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.1067419078296723,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.2853783870584294,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.4507798427140166,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.1216848188662993,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.2172910279939852,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.1493844112348661,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.198440271909007,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0036460385331196,31.622776601683793
4,1000,0.95,False,0,1000.0,True,4.5522043166101867e-05,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0157354605245814,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.1105945351101524,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.2739355553726739,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.3923173769845149,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.048238696426651,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0846935574515939,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0454969041933495,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0098435538816374,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.1439077286617305,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0402634604236027,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.2690119376231195,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.5229657656714792,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0061870130071639,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0260180254799176,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0030540846419171,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0777023300487087,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.1512745978099019,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.076191822326896,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.1199172305795457,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.2091524723292863,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0459797818973584,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.2162958357415618,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.18889111315967,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0261780818703414,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.2530143406878054,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.1364088795780134,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.3373998475646331,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0241567202175758,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.250567520861555,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.1668325029636577,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0177574056671048,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.1400111459360431,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.065537910145764,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.2822240545381298,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.1364143406825775,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0719296303826126,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0573333683265673,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0319167184446413,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.109342424686412,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.2756381417467963,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0023436033268922,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.3517176520711302,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.1014631780766279,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0054301008831139,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0439135440066991,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.1928824950508669,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.1769228098999633,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0160632062274945,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0009325223895189,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.1253030228960012,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0519044342933199,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0281493857109751,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0406906684674908,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.3283729152635057,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.2873572171855834,31.622776601683793
4,1000,0.95,False,0,1000.0,True,0.0157695401362474,31.622776601683793
