method_thresh,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,n_delete,loc_error_0,loc_error_1,loc_error_2,loc_error_3,best_loc_error_0,best_loc_error_1,best_loc_error_2,best_loc_error_3
inf,4,0,False,False,False,1.0,2,9.094947017729282e-13,0.0,1.1368683772161603e-13,5.752149554916067e-12,3.279229782005122e-12,3.410605131648481e-13,5.084229945850415e-13,7.941821057362622e-12
inf,4,0,False,False,False,1.0,2,0.0,2.2737367544323206e-13,5.684341886080802e-14,0.0,0.0,1.1368683772161603e-13,1.7053025658242404e-13,0.0
inf,4,0,False,False,False,1.0,2,0.0,1.1875978483320563e-09,5.7971369937565716e-11,4.704437721634659e-10,0.0,1.2175706401258058e-09,1.9781591434971415e-11,4.62997124488862e-10
inf,4,0,False,False,False,1.0,2,0.0,4.687428401686771e-13,1.2984650732350455e-10,3.125540438748354e-11,0.0,5.684341886080802e-14,5.708166195578629e-11,3.250091755982e-11
inf,4,0,False,False,False,1.0,2,0.0,2.2737367544323206e-13,5.684341886080802e-14,9.094947017729282e-13,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13
inf,4,0,False,False,False,1.0,2,0.0,4.687428401686771e-13,5.684341886080802e-14,1.0289757937229989e-11,0.0,1.1368683772161603e-13,6.252776074688882e-13,1.0379801288321075e-11
inf,4,0,False,False,False,1.0,2,4.547473508864641e-13,1.256370727096232e-10,4.547473508864641e-13,0.0,0.0,1.0853062621394138e-10,6.844854043943255e-13,9.374856803373542e-13
inf,4,0,False,False,False,1.0,2,0.0,4.1744147297318717e-10,5.684341886080802e-14,2.2737367544323206e-13,0.0,4.3904297995588274e-10,4.547473508864641e-13,6.821210263296962e-13
inf,4,0,False,False,False,1.0,2,0.0,8.814765175491277e-10,1.0725194820289065e-12,1.016845989170083e-12,0.0,8.31106373349743e-10,2.8421709430404007e-13,4.547473508864641e-13
inf,4,0,False,False,False,1.0,2,0.0,2.4198210694347745e-11,0.0,2.2737367544323206e-13,9.094947017729282e-13,4.9043321164539185e-11,2.2737367544323206e-13,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,2,4.547473508864641e-13,0.0,1.1368683772161603e-13,2.145038964057813e-12,4.547473508864641e-13,2.2737367544323206e-13,1.1368683772161603e-13,1.8189894035458565e-12
inf,4,0,False,False,False,1.0,2,1.4008875769604277e-11,2.5421149729252077e-13,2.2737367544323206e-13,9.094947017729282e-13,1.2202151870040997e-11,0.0,3.410605131648481e-13,1.2862197421537486e-12
inf,4,0,False,False,False,1.0,2,0.0,5.084229945850415e-13,3.410605131648481e-13,2.41796055572462e-10,9.374856803373542e-13,4.0990372275064023e-13,4.547473508864641e-13,2.506615083403433e-10
inf,4,0,False,False,False,1.0,2,2.2737367544323206e-13,6.821210263296962e-13,3.701375270816176e-12,4.547473508864641e-13,4.547473508864641e-13,1.1368683772161603e-13,4.414798204140334e-12,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,2,0.0,1.829465321997356e-10,9.165725883006586e-13,9.374856803373542e-13,0.0,8.619171931754994e-11,3.410605131648481e-13,0.0
